trial,rep,plot,n_rate,inoc_rate,d15n_vt_permil,n_uptake_vt_kgha,yield_mgha
IA02451,4,405,low,Control,2.7799999,242.7318591502921,13.42218899373
IA02451,4,406,low,Low,2.7,190.59135646131327,13.815318000000001
IA02451,4,414,high,Control,4.6299999,202.40949791142705,14.31566399373
IA02451,5,501,low,Control,4.205,235.3989397861342,12.449085
IA02451,5,502,low,Low,3.0899999,213.6547429220916,13.121229000000001
IA02451,5,503,low,Medium,3.0099999,191.0234851612315,11.56877699373
IA02451,5,504,low,High,2.72,206.16512093276958,12.18261
IA02451,5,512,high,Control,4.33,248.98638463620657,17.708988
IA02451,6,601,low,Low,3.77,207.5039004101353,12.236532
IA02451,6,602,low,Medium,4.1799999,204.55973319615197,12.123672000000003
IA02451,6,606,low,High,5.36,157.72775791319071,17.72215499373
IA02451,6,608,low,Control,3.58,235.2237351776298,16.168449
IA02451,6,611,high,Control,4.65,223.6047483870968,15.996024000000002
IA03451,1,103,low,Medium,NA,154.73447077037792,12.8017758858
IA03451,1,104,low,High,NA,164.29537547752167,12.916587203850002
IA03451,1,105,low,Control,NA,140.0244726831636,13.039098702630001
IA03451,1,109,low,Low,NA,239.1109726171042,13.408457825400001
IA03451,1,116,high,Control,NA,182.7211114261504,13.640025584790001
IA03451,2,203,low,High,NA,227.6969657716622,12.88353724383
IA03451,2,206,low,Medium,NA,180.8325109084997,12.493642385070002
IA03451,2,207,low,Control,NA,157.4771874047636,12.94759736358
IA03451,2,208,low,Low,NA,234.0786283103697,12.871255392270001
IA03451,2,218,high,Control,NA,171.31337752341315,13.557162568950002
IA03451,3,302,low,Medium,NA,147.3802736697297,14.193486190620002
IA03451,3,304,low,Low,NA,138.1200014984753,12.541843110390001
IA03451,3,307,low,High,NA,184.1568585830438,13.738518487980002
IA03451,3,309,low,Control,NA,141.07073285351066,13.089396611280002
IA03451,3,310,high,Control,NA,253.24263673080657,13.612825352940002
IA03451,4,401,low,Low,NA,105.54604666748976,13.48968556254
IA03451,4,402,low,Control,NA,157.87736326011935,13.706306250120003
IA03451,4,408,low,High,NA,199.92614108971497,13.86045332859
IA03451,4,409,low,Medium,NA,223.595834786646,13.97855816478
IA03451,4,411,high,Control,NA,239.18422822744958,13.297172416770001
IA03451,5,501,low,Control,NA,148.38626144307028,13.68288438297
IA03451,5,503,low,Low,NA,220.23291884512957,13.568420209740001
IA03451,5,505,low,High,NA,132.93268601647128,13.356269298570002
IA03451,5,507,low,Medium,NA,181.3245935601553,13.86087793299
IA03451,5,515,high,Control,NA,236.1246799084,13.195925353380002
IA03451,6,602,low,High,NA,235.10418335243753,12.982506378599998
IA03451,6,605,low,Medium,NA,193.4022109287822,13.602640690980001
IA03451,6,608,low,Control,NA,180.07697991533402,13.482823103970002
IA03451,6,609,low,Low,NA,209.0417185010177,13.306301317319999
IA03451,6,610,high,Control,NA,153.16933952274294,12.75387639636
IA04451,1,102,low,Control,8.1199999,229.3565161501967,15.461819993730002
IA04451,1,104,low,Medium,11.83999995,246.29501431300972,14.408460000000002
IA04451,1,105,low,Low,11.18,198.70333951040521,13.373910000000002
IA04451,1,107,low,High,10.5,137.81443783253087,13.405260000000002
IA04451,1,112,high,Control,6.68999995,137.29320649338501,15.555869993730001
IA04451,2,201,low,High,13.31,177.77636188541373,10.63391999373
IA04451,2,202,low,Control,14.909999899999999,76.20574579445848,11.07281999373
IA04451,2,204,low,Low,11.26,183.1179489165673,11.70608999373
IA04451,2,208,low,Medium,9.7899999,151.26895808862005,13.30493999373
IA04451,2,217,high,Control,1.8799999,254.9914693996955,16.671929993730004
IA04451,3,301,low,Low,10.85,91.67173629164537,12.48356999373
IA04451,3,303,low,Medium,8.0199999,192.2190059173182,14.71568999373
IA04451,3,307,low,Control,7.96,213.74324120970797,14.038530000000002
IA04451,3,308,low,High,6.04499995,175.16977838527433,13.530660000000001
IA04451,3,311,high,Control,1.8899999,177.05551914912513,16.214220000000005
IA04451,4,402,low,High,2.72,230.50278628725044,16.7409
IA04451,4,404,low,Control,2.2799999,196.53624140813773,17.073210000000003
IA04451,4,406,low,Medium,1.95,208.9788400135003,17.15472
IA04451,4,407,low,Low,3.035,193.7056507945467,16.195410000000003
IA04451,4,413,high,Control,5.65,173.36042780766275,16.92272999373
IA04451,5,501,low,Medium,4.13499995,255.03055537487444,17.004239993730003
IA04451,5,504,low,High,1.1299999,259.6414334691382,15.78158999373
IA04451,5,506,low,Low,3.4599999,173.173428907288,17.33655
IA04451,5,508,low,Control,3.45,298.0473027582958,17.72528999373
IA04451,5,516,high,Control,1.9299999,222.24368640254414,16.79732999373
IA04451,6,603,low,Control,2.7099999500000003,184.4458296054605,17.750370000000004
IA04451,6,605,low,Low,5.1399999,260.08396057165623,17.04186
IA04451,6,606,low,High,3.04,185.16452430554332,16.10762999373
IA04451,6,609,low,Medium,7.28,182.6625548951481,12.935010000000002
IA04451,6,610,high,Control,2.1899999,243.6319709342317,16.941539993730004
IL01451,1,104,low,High,NA,282.4450567338624,15.761320651230001
IL01451,1,105,low,Control,NA,312.35440492542085,15.795143551770002
IL01451,1,106,low,Medium,NA,NA,16.05937310802
IL01451,1,109,low,Low,NA,283.5584066691896,15.892713579930001
IL01451,1,110,high,Control,NA,233.0267548717422,15.15893267724
IL01451,2,201,low,Control,NA,245.1637697533047,15.962918406270001
IL01451,2,204,low,Medium,NA,195.75564028946528,15.76592262432
IL01451,2,205,low,Low,NA,237.9231096121061,16.07125468278
IL01451,2,208,low,High,NA,206.644986343727,15.84678979884
IL01451,2,213,high,Control,NA,121.93506231610408,15.012789542190001
IL01451,3,301,low,High,NA,242.20402462304156,15.649170885480002
IL01451,3,302,low,Control,NA,163.30931328917575,14.93119768107
