trial,rep,n_rate,inoc_rate,trt,target_strain,copies_per_g_fw
IL03451,6,Low,High,PROVEN40,6-5687,88616.74242784039
IN01451,1,Low,Control,UTC,137-2253,0
IN01451,1,Low,Control,UTC,6-5687,0
IN01451,1,Low,Low,PROVEN40,137-2253,35165.82786852245
IN01451,1,Low,Low,PROVEN40,6-5687,1620.7663670474349
IN01451,1,Low,Medium,PROVEN40,137-2253,38617.12511990915
IN01451,1,Low,Medium,PROVEN40,6-5687,5102.512331148005
IN01451,1,Low,High,PROVEN40,137-2253,112155.64867985705
IN01451,1,Low,High,PROVEN40,6-5687,8494.863950092986
IN01451,2,Low,Control,UTC,137-2253,64.39375064371235
IN01451,2,Low,Control,UTC,6-5687,100.5209969646675
IN01451,2,Low,Low,PROVEN40,137-2253,4946.971077354685
IN01451,2,Low,Low,PROVEN40,6-5687,190.7126983866715
IN01451,2,Low,Medium,PROVEN40,137-2253,136.6601520212295
IN01451,2,Low,Medium,PROVEN40,6-5687,628.2005986841377
IN01451,2,Low,High,PROVEN40,137-2253,1299.6432338277546
IN01451,2,Low,High,PROVEN40,6-5687,14.806634395296332
IN01451,3,Low,Control,UTC,137-2253,70.8901526916174
IN01451,3,Low,Control,UTC,6-5687,33.68878227525216
IN01451,3,Low,Low,PROVEN40,137-2253,1602.724047730225
IN01451,3,Low,Low,PROVEN40,6-5687,36.01308251636455
IN01451,3,Low,Medium,PROVEN40,137-2253,8036.32508178385
IN01451,3,Low,Medium,PROVEN40,6-5687,258.725682543467
IN01451,3,Low,High,PROVEN40,137-2253,3973.287226633065
IN01451,3,Low,High,PROVEN40,6-5687,97.04134292897794
IN01451,4,Low,Control,UTC,137-2253,3453.003385190425
IN01451,4,Low,Control,UTC,6-5687,86.693489376625
IN01451,4,Low,Low,PROVEN40,137-2253,321.708732665958
IN01451,4,Low,Low,PROVEN40,6-5687,1.70245855686923
IN01451,4,Low,Medium,PROVEN40,137-2253,4706016.008264795
IN01451,4,Low,Medium,PROVEN40,6-5687,903459.789385826
IN01451,4,Low,High,PROVEN40,137-2253,63000.875776855755
IN01451,4,Low,High,PROVEN40,6-5687,5799.949429386915
IN01451,5,Low,Control,UTC,137-2253,55.2455186932355
IN01451,5,Low,Control,UTC,6-5687,110.776073185703
IN01451,5,Low,Low,PROVEN40,137-2253,1450.737972338095
IN01451,5,Low,Low,PROVEN40,6-5687,25.95088361824755
IN01451,5,Low,Medium,PROVEN40,137-2253,29830.564632642847
IN01451,5,Low,Medium,PROVEN40,6-5687,1992.1408290291465
IN01451,5,Low,High,PROVEN40,137-2253,38611.4514798287
IN01451,5,Low,High,PROVEN40,6-5687,7146.777879061775
IN01451,6,Low,Control,UTC,137-2253,29.6256215383853
IN01451,6,Low,Control,UTC,6-5687,86.7757741861035
IN01451,6,Low,Low,PROVEN40,137-2253,8026.56453329959
IN01451,6,Low,Low,PROVEN40,6-5687,269.1530264114625
IN01451,6,Low,Medium,PROVEN40,137-2253,17094.61868936335
IN01451,6,Low,Medium,PROVEN40,6-5687,865.706979671212
IN01451,6,Low,High,PROVEN40,137-2253,17356.94431526625
IN01451,6,Low,High,PROVEN40,6-5687,2085.615830652455
IN02451,1,Low,Control,UTC,137-2253,0
IN02451,1,Low,Control,UTC,6-5687,0
IN02451,1,Low,Low,PROVEN40,137-2253,29.290038413739598
IN02451,1,Low,Low,PROVEN40,6-5687,2.444240844919533
IN02451,1,Low,Medium,PROVEN40,137-2253,3135.9838783033947
IN02451,1,Low,Medium,PROVEN40,6-5687,13333.862700285898
IN02451,1,Low,High,PROVEN40,137-2253,6908.980854276174
IN02451,1,Low,High,PROVEN40,6-5687,37688.17049464533
IN02451,2,Low,Control,UTC,137-2253,171.56301966514314
IN02451,2,Low,Control,UTC,6-5687,717.3443841376795
IN02451,2,Low,Low,PROVEN40,137-2253,59.361087057270176
IN02451,2,Low,Low,PROVEN40,6-5687,7.516286275472133
IN02451,2,Low,Medium,PROVEN40,137-2253,45.84902123363167
IN02451,2,Low,Medium,PROVEN40,6-5687,341.17105064501334
IN02451,2,Low,High,PROVEN40,137-2253,355.584204441376
IN02451,2,Low,High,PROVEN40,6-5687,2259.8279140865243
IN02451,3,Low,Control,UTC,137-2253,447.79636114109303
IN02451,3,Low,Control,UTC,6-5687,1045.52819614343
IN02451,3,Low,Low,PROVEN40,137-2253,58.04659677372448
IN02451,3,Low,Low,PROVEN40,6-5687,0
IN02451,3,Low,Medium,PROVEN40,137-2253,44.47098582330333
IN02451,3,Low,Medium,PROVEN40,6-5687,78.30979619439633
IN02451,3,Low,High,PROVEN40,137-2253,0
IN02451,3,Low,High,PROVEN40,6-5687,0
IN02451,4,Low,Control,UTC,137-2253,2456.825424520984
IN02451,4,Low,Control,UTC,6-5687,121.25879143443855
IN02451,4,Low,Low,PROVEN40,137-2253,98.40964096478375
IN02451,4,Low,Low,PROVEN40,6-5687,11.845421245408632
IN02451,4,Low,Medium,PROVEN40,137-2253,340.5611991296004
IN02451,4,Low,Medium,PROVEN40,6-5687,0
IN02451,4,Low,High,PROVEN40,137-2253,5117.043584674017
IN02451,4,Low,High,PROVEN40,6-5687,28238.775373159075
IN02451,5,Low,Control,UTC,137-2253,21.870878809921866
IN02451,5,Low,Control,UTC,6-5687,0
IN02451,5,Low,Low,PROVEN40,137-2253,67.0128981245404
IN02451,5,Low,Low,PROVEN40,6-5687,8.160997054576933
IN02451,5,Low,Medium,PROVEN40,137-2253,4.938860587710733
IN02451,5,Low,Medium,PROVEN40,6-5687,163.55689717759302
IN02451,5,Low,High,PROVEN40,137-2253,2858.6222440947754
IN02451,5,Low,High,PROVEN40,6-5687,5610.792263450983
IN02451,6,Low,Control,UTC,137-2253,86.5741459291641
IN02451,6,Low,Control,UTC,6-5687,9.7498104171295
IN02451,6,Low,Low,PROVEN40,137-2253,102.68353431479275
IN02451,6,Low,Low,PROVEN40,6-5687,3111.485118298055
IN02451,6,Low,Medium,PROVEN40,137-2253,153.87947801027767
IN02451,6,Low,Medium,PROVEN40,6-5687,14.308262061589632
IN02451,6,Low,High,PROVEN40,137-2253,661.1186322607525
IN02451,6,Low,High,PROVEN40,6-5687,0
