year,plot,rep,microbe,n_rate,V8_leaftip_d15n_permil,V8_shoot_d15n_permil,R1_shoot_d15n_permil,R1_leaf_d15n_permil,R1_stem_d15n_permil,R1_ear_d15n_permil,R6_shoot_d15n_permil,R6_leaf_d15n_permil,R6_stem_d15n_permil,R6_kernel_d15n_permil,V8_shoot_n_kgha,R1_shoot_n_kgha,R6_shoot_n_kgha
2021,210,2,UTC,175,10.7675448564,7.236808579,2.759409475993696,8.1586793285,7.770437381600001,9.4409793633,3.3111475674582693,5.3463233036,6.3904982528000005,11.8605572348,54.41274068549608,196.8913552261321,248.52263957501523
2021,211,2,PROVEN40,95,10.1321696917,6.938031246,2.506118387283875,7.278625247499999,6.377053565600001,9.2762877542,2.67677714090928,3.9431723408,3.8117442895999996,10.5835592183,46.82161698496291,188.92938714158743,210.82062012118047
2021,212,2,UTC,95,10.778621127100001,5.724874961,2.92034601290069,8.7881485345,6.9504460424,10.8097934557,2.6283762991844584,3.4321173572,3.4534731313999996,10.5581210108,42.978909309433526,159.7135703685472,193.7335961159171
2021,301,3,PROVEN40,135,6.9844949455,2.995774624,1.5087489024233989,4.501142493,3.5852737616,5.8581972324,1.7893095985235992,0.4908009056,-0.2892830224,7.539114544699999,48.93951940019305,204.2983982623601,257.40499872505757
2021,302,3,UTC,135,8.229064998700002,4.513723893,2.0823815533417718,6.254234278499999,4.870394662400001,8.6175213178,2.2425785325617187,2.1829829648,4.0021786892,8.3867156186,38.9731072173786,163.7664972629333,216.9017854452327
2021,303,3,PROVEN40,175,4.645387960400001,4.145766573,1.3695628638807182,4.611669125200001,2.3041625984,4.1392901985,1.8826109371513817,0.9928549208000002,3.4035638375999997,7.491290714599999,37.91643795381733,198.83995369618987,255.41497138664286
2021,304,3,UTC,175,8.732531848700003,5.278714178,1.5789701187544567,4.953872648300001,3.7456632656,5.356232986700001,2.0082454882091985,2.0529689768,6.323452202399999,7.2002776208,37.70632687867353,185.56167204599237,283.17245136939044
2021,305,3,PROVEN40,215,5.8758609418,1.144959333,1.3485552614136083,3.8000452073,3.4148599136,5.6008049571,1.5848754313068103,1.5369134552,3.4193705632,5.973138490999999,39.93402094177596,223.13777464576825,262.4110670642501
2021,306,3,UTC,215,6.606894808,3.963291826,0.923395392500319,2.1511567617,1.907198576,5.3493297456,1.6656034231426107,1.9209547735999999,2.1205825863999994,6.4432365655999995,37.48932691582012,232.90840357949085,253.9166383841151
2021,307,3,PROVEN40,95,8.200870855100002,2.817310311,1.4925618700967878,4.5308025866,3.7175951024,5.1875966684,1.7883041295740085,1.3508719216,2.334747952,7.4495720543,48.161075089004584,171.88902073695158,187.53101415200481
2021,308,3,UTC,95,10.685983226700001,9.166829941,1.5724297901618887,5.043614782600001,2.6435817872,5.7793030484,2.282786330973363,4.6422475532,3.5662437187999996,8.1933852416,43.81935361000869,204.34884599402528,195.8777623091896
2021,309,3,PROVEN40,255,8.733538782400002,3.634436238,1.3148076706096965,3.4469937339,3.940927159900001,5.3463712137,2.6107291530865107,6.675466304,4.594152612799999,8.6828163539,54.5444906629428,233.37252271081033,261.32477563741753
2021,310,3,UTC,255,10.485603420400002,7.862436283,1.7905521778646527,4.996278272200001,5.8371247411,5.9952758771,3.544740409083308,5.7343650524,9.0201486758,12.5423011958,39.972340379660785,212.18096600402316,297.9095036712639
2021,311,3,PROVEN40,0,15.313850511900002,9.956885439,2.302866089786377,7.5475189473,4.390821172,7.2930852039,2.8952914017248985,3.7780469868,5.8046899802,12.043712328800002,43.601492536191564,120.79248737498538,105.20837954961738
2021,312,3,UTC,0,16.63595446,13.42992128,3.188473297505599,9.8384088152,7.854099238300001,10.268382118,2.246603370147267,1.3958982835999998,4.223905817,11.524772895800002,35.08786066024223,89.01348715742758,83.02056500385227
2021,313,1,PROVEN40,135,10.172447039700002,4.444543906,2.411014801069146,7.117545644500001,4.820585698099999,10.1214417003,1.3585985493769182,2.9390643103999996,2.7538963016,4.667334454400001,41.83277061674342,209.8695825419038,187.56502803338404
2021,314,1,UTC,135,10.588310657800001,8.631437002,2.1485578334778137,6.384815910600001,5.690179493300001,7.9262110305,1.8324467082244247,3.1210838936,6.3875043434,6.1515329184,34.09999416268093,201.96990643906733,195.03860971668195
2021,401,4,PROVEN40,175,10.867231292700001,2.832349438,1.7054343251407527,4.959789712100001,4.602180775,6.214207237700001,1.761143315875386,3.8686285682,3.4015787018,5.9790449888,47.981533453072274,206.49967406667116,239.77203039588474
2021,402,4,UTC,175,9.415232897300001,6.725478244,2.29154258345845,6.4331385983,6.6100970035,9.057356393600001,2.6215350661277648,5.087149694,5.109105029599999,9.0176404928,25.822995579557464,195.56786995279484,236.74780884135748
2021,403,4,PROVEN40,95,7.2785195859,5.099247257,1.917358314917229,5.762561278400001,4.2438759242,7.511030387200001,1.3553875049028514,2.6950160834,2.0403478946,4.8719131616,39.34545159808422,193.0709265733332,200.34215619464103
2021,404,4,UTC,95,9.638772178700002,8.994381279,1.9039305271790352,5.890872881600001,4.186506889099999,7.4498873946,1.9491364285707597,3.620134088,3.146098433,6.947785337600001,28.29955071117035,192.82833878541294,188.57683336555078
2021,407,4,PROVEN40,255,7.750771491200001,4.01442486,2.270337011611937,6.558494192,6.3574719542,9.4429517179,2.2316402027368674,3.7608478298,4.626087646399999,7.928559728000001,49.24478323682614,211.36502877883015,247.10707228310312
2021,408,4,UTC,255,11.730173473600003,9.56185769,3.058327398412784,8.256618065600001,8.989402248700001,12.7111432901,2.1372087891756513,4.029301706,5.048228871799999,7.4692604736,38.450326751313845,188.0555446939613,304.3041017972269
2021,409,4,PROVEN40,0,12.118849881800001,9.916781099,1.8734982180726634,6.6096183464,3.0803916334,7.092891212000001,1.4603513891525985,3.11116949,3.3846132152,5.297115964800001,33.03221656768788,120.67360619862662,114.41796084963707
2021,410,4,UTC,0,12.533706566200003,9.881689802,2.4884607628974234,8.369893152800001,5.0631460044,8.600756303699999,1.945755365319819,3.9574478804,4.6650084686,7.2777186448,29.302314428403733,90.44357068115298,91.860729718766
2021,411,4,PROVEN40,215,6.8556074319,4.70923255,1.4075163760456026,4.137615116,3.1719807947,5.958787317000001,1.5967263196080683,2.5383348247999997,4.0063484006,5.8316279792,48.59249168182033,241.25859985989354,232.18634929289198
2021,412,4,UTC,215,11.4764261812,5.168427243,1.3230718597662967,3.6855172016,3.2585375845,5.827625736100001,1.875151686385755,4.0481836388,3.7169371586,6.534616576000001,45.91960325048291,214.12122963145794,215.28203580284497
2021,413,4,PROVEN40,135,6.254468013,3.481037138,1.1744982930880932,3.6544417352,2.5952710208,4.607724416000001,1.1817710356281792,3.2811011096,0.8757171380000001,4.1909869744,38.39134065030012,180.5923511390104,220.31049302598333
2021,414,4,UTC,135,7.8393816568,2.815305094,1.698905333239722,4.9165066448,4.3998794407,6.932144312100001,1.113007988025142,2.9420646332,1.903626032,3.8781018928,43.988561914376525,184.93304944185175,218.8995627819364
2021,501,5,PROVEN40,95,9.2720458204,8.963300416,2.109756821258905,6.386075475200001,4.5729930203,8.798977941,1.7008423365035892,4.413222912799999,3.8678534499999997,5.682205296,36.941660342904335,177.2535886546319,171.48679547206402
2021,502,5,UTC,95,12.022184246600002,11.50090253,3.1882817908841616,8.862088443200001,10.0602909039,11.5257581755,2.64809819422602,6.2884246628,5.86031161,9.108898641600002,37.008826998073246,192.15891932001267,146.2088843863157
2021,503,5,PROVEN40,135,11.323372258800001,12.40826322,2.5446371075534366,7.002572631200001,7.185800303100001,10.0829807856,2.806804278152525,5.4833380448,7.7237401000000006,9.7848106448,34.41171633154179,204.83709230135852,216.52074386269334
2021,504,5,UTC,135,15.430654821100001,12.11449893,2.7111382185161688,7.1719840448,8.113769607700002,11.4409469277,2.4676781119466464,6.5574536072,5.24617039,8.443015006400001,36.784938147510196,198.567535945198,167.3409769429434
2021,505,5,PROVEN40,255,8.897668975500002,4.684167338,1.7702312166712184,4.485459852800001,5.3983019463,7.828579477800001,2.5825236468104067,5.3163200756,6.2734066,8.936410712,50.43957469896553,228.95900420400014,261.4332756134626
2021,506,5,UTC,255,9.676028725600002,6.606167832,2.238902577194779,6.047252648000001,6.0585490871,9.4064631578,1.9888295118645327,4.6512485216,5.657264919999999,6.43934708,40.37103475585577,184.6781787279608,240.59008577082807
2021,507,5,PROVEN40,0,10.466471680100002,13.70463601,1.8514632153145845,6.270795519200001,4.0959242021,6.644180540500001,1.2859161830865173,4.1561952596000005,2.89062874,4.1889813008,44.8828256501832,134.78098535184282,115.18007501470899
2021,508,5,UTC,0,13.902129464500002,9.634045502,2.183781800382132,7.334378417600001,4.3425104056,7.519905982900001,1.8232014958384948,4.9622819852,4.32495856,6.3059697856,43.86714526849427,117.61340292822527,92.88717393658959
2021,509,5,PROVEN40,215,7.1687638126,5.15739855,1.4868828996558179,3.902043032,4.3223809196,6.548521342400001,1.3357434630941087,2.3450003959999997,4.22693602,4.5048748928,54.009740754482586,249.88603932649087,306.57711897982904
