field_id,field_id_hash,n_fert_reduced_kgha,growth_stage,treatment,fresh_weight_g,cci
57297,c0a1452d,0,VT,BAU,991.7,55.04
57297,c0a1452d,44.8,VT,PROVEN40,986.7,49.18
21241,c317b2b4,0,V12,BAU,630.5,42.48
21241,c317b2b4,44.8,V12,PROVEN40,838.4,46.4
56297,c3cfede7,0,V14,BAU,672.2,26.65
56297,c3cfede7,44.8,V14,PROVEN40,582,17.67
53699,c55ecceb,0,V12,BAU,967.9,54.1
53699,c55ecceb,44.8,V12,PROVEN40,962.5,53.93
55320,c621e86a,0,V10,BAU,466.1,35.55
55320,c621e86a,44.8,V10,PROVEN40,374.9,20.31
Ames Office,c703c651,0,VT,BAU,581.5,41.21
Ames Office,c703c651,44.8,VT,PROVEN40,512.4,44.62
23140,ca202363,0,VT,BAU,606.5,40.66
23140,ca202363,44.8,VT,PROVEN40,762,50.46
26448,caf598e8,0,V12,BAU,461.6,47.71
26448,caf598e8,42.6,V12,PROVEN40,521.2,48.86
38254,ce4d8152,0,V11,BAU,441.7,57.51
38254,ce4d8152,44.8,V11,PROVEN40,438.7,60.7
15384,d0816cde,0,V7,BAU,104.5,40.41
15384,d0816cde,44.8,V7,PROVEN40,114.3,42.61
55014,d0a194cc,0,V11,BAU,618.3,35.36
55014,d0a194cc,44.8,V11,PROVEN40,661.7,37.12
22834,d26b256e,0,V12,BAU,732.9,43.56
22834,d26b256e,44.8,V12,PROVEN40,738.6,47.15
36135,d2783a64,0,V9,BAU,557,39.58
36135,d2783a64,44.8,V9,PROVEN40,605.7,48.46
39424,d9673133,0,V12,BAU,391.7,39.28
39424,d9673133,44.8,V12,PROVEN40,470.2,46.47
36268,dbede4a7,0,VT,BAU,459.3,33.2
36268,dbede4a7,44.8,VT,PROVEN40,526.5,40.21
55240,dbf8d0d2,0,V12,BAU,405.3,51.54
55240,dbf8d0d2,44.8,V12,PROVEN40,385.3,47.16
15586,e095e467,0,V12,BAU,555,50.66
15586,e095e467,39.2,V12,PROVEN40,659.2,56.02
38189,e3bd94d8,0,V10,BAU,357.2,56.89
38189,e3bd94d8,44.8,V10,PROVEN40,354.2,52.32
Arnold,e3f59bc0,0,V7,BAU,89.39,50.86
Arnold,e3f59bc0,44.8,V7,PROVEN40,121.8,53.49
57473,e42bfb6c,0,V11,BAU,522.4,43.6
57473,e42bfb6c,44.8,V11,PROVEN40,566.4,49.6
35156,e55298ab,0,V8,BAU,297,50.64
35156,e55298ab,44.8,V8,PROVEN40,327.2,60.91
56509,e567fafb,0,V15,BAU,790,45.6
56509,e567fafb,44.8,V15,PROVEN40,831,50.11
24417,e56a48fd,0,V10,BAU,469,34.08
24417,e56a48fd,44.8,V10,PROVEN40,540.7,38.93
24417,e56a48fd,0,V7,BAU,96.33,45.44
24417,e56a48fd,44.8,V7,PROVEN40,87.33,40.58
19543,e7a550d4,0,V12,BAU,630.5,41.48
19543,e7a550d4,44.8,V12,PROVEN40,695.6,40.77
36316,e95536ce,0,V12,BAU,422.5,52.41
36316,e95536ce,44.8,V12,PROVEN40,520.5,47.62
57474,eefcfb93,0,V10,BAU,528.2,44.69
57474,eefcfb93,44.8,V10,PROVEN40,594.6,50.28
8940,ef36aa92,0,V11,BAU,463.3,36.98
8940,ef36aa92,44.8,V11,PROVEN40,605.7,30.24
38217,f065b545,0,V10,BAU,503.8,73.77
38217,f065b545,44.8,V10,PROVEN40,509,63.47
25667,f145bc82,0,V10,BAU,515.3,45.85
25667,f145bc82,39.2,V10,PROVEN40,533.9,46.76
56301,f1c2bf09,0,V12,BAU,445.5,39.6
56301,f1c2bf09,44.8,V12,PROVEN40,438.3,37.72
55018,f4254868,0,V10,BAU,385,35.31
55018,f4254868,44.8,V10,PROVEN40,456.7,40.25
27433,f49c5c9a,0,V7,BAU,319,46.7
27433,f49c5c9a,44.8,V7,PROVEN40,355,52.55
47244,f49d6dd6,0,V12,BAU,427.8,41.55
47244,f49d6dd6,39.2,V12,PROVEN40,652,43.23
25062,f62f8f76,0,V12,BAU,588.7,38.29
25062,f62f8f76,44.8,V12,PROVEN40,663,35.54
36694,f707ad57,0,V8,BAU,505.8,31.44
36694,f707ad57,44.8,V8,PROVEN40,607.1,37.33
55391,f75a8651,0,V15,BAU,430,56.09
55391,f75a8651,44.8,V15,PROVEN40,610.5,59.62
53555,f8d576a3,0,V9,BAU,331,42.96
53555,f8d576a3,44.8,V9,PROVEN40,333,41.54
56854,fb898e14,0,V9,BAU,459.6,25.87
56854,fb898e14,44.8,V9,PROVEN40,468.2,31.73
20800,fee10d69,0,V8,BAU,594.2,41.21
20800,fee10d69,44.8,V8,PROVEN40,556.5,41.27
38191,fefec349,0,V12,BAU,682.5,42.37
38191,fefec349,44.8,V12,PROVEN40,712,41.55
