trial_id_hash,treatment,point_count,yieldmean_Mgha,yieldcv_pct
442cad74,PROVEN40_ReducedN,14197,11.759177335584003,18.31423547
375dc98b,BAU,8356,12.323384677128,10.21242488
375dc98b,PROVEN40_ReducedN,7610,11.933313392532002,11.9642425
7f2775a5,BAU,5508,10.700808549168,15.11213386
7f2775a5,PROVEN40_ReducedN,5223,11.174862628860001,11.18426316
796f8317,BAU,4894,13.948553256304002,14.84855233
796f8317,PROVEN40_ReducedN,4750,13.464701231556,11.42489699
4f5c6efa,BAU,18698,9.640093740279001,12.38276798
4f5c6efa,PROVEN40_ReducedN,19020,9.841550220032001,10.66323675
16eea5d7,BAU,26916,9.980881379070002,15.56483423
16eea5d7,PROVEN40_ReducedN,24681,9.936396298901,19.57745183
46e9989f,BAU,50694,12.611739141425002,9.057926844
46e9989f,PROVEN40_ReducedN,47588,12.167024117522002,8.335034668
d05d7cf7,BAU,6463,13.532169722981001,5.453738322
d05d7cf7,PROVEN40_ReducedN,7027,13.405606659859002,6.295361575
9bec0e89,BAU,37857,8.166009858270002,26.35748986
9bec0e89,PROVEN40_ReducedN,46717,8.261938035446002,20.15429509
54cb5621,BAU,7219,13.040513817983001,15.73372911
54cb5621,PROVEN40_ReducedN,3095,12.36008244205,16.12744614
6ef35abf,BAU,13568,8.999845872908,21.02827267
6ef35abf,PROVEN40_ReducedN,7435,8.985556659028001,24.49714611
381ab50c,BAU,686,8.483726339622,30.55008351
381ab50c,PROVEN40_ReducedN,1409,9.114339332120002,18.28047889
af90b691,BAU,18524,7.448853964841001,23.46567577
af90b691,PROVEN40_ReducedN,18318,8.447586712986,20.88729665
ad5fd3ce,BAU,1049,17.408362774057004,7.7696182050000004
ad5fd3ce,PROVEN40_ReducedN,1336,18.219475879216002,6.410533076
70089e2b,BAU,13863,11.262105911174,40.59574689
70089e2b,PROVEN40_ReducedN,4675,14.218977878106003,16.08703664
27d01c79,BAU,25333,12.871661017780001,8.703900044
27d01c79,PROVEN40_ReducedN,15325,13.960589981288003,11.25873459
7dfa3c86,BAU,37988,18.113155770751003,8.072069833
7dfa3c86,PROVEN40_ReducedN,40057,18.027905655632004,8.086382701
9d733d39,BAU,6547,16.290674718175,6.572664351
9d733d39,PROVEN40_ReducedN,6733,15.034217012290002,5.918312306
df4e0c5b,BAU,2507,14.263279079837002,11.55699113
df4e0c5b,PROVEN40_ReducedN,2461,14.216925832651,7.435377557
ece1b869,BAU,3756,15.54286253423,11.49203109
ece1b869,PROVEN40_ReducedN,6791,15.472662185696,9.619514754
7a6df9f2,BAU,13839,18.563977895095,16.02222416
7a6df9f2,PROVEN40_ReducedN,12423,18.76508999352,14.04065153
779ec3aa,BAU,5866,14.339127611065003,19.85684105
779ec3aa,PROVEN40_ReducedN,3421,12.644639553596003,19.64106421
9692f5b1,BAU,16816,15.402657980858002,20.48664368
9692f5b1,PROVEN40_ReducedN,17840,15.605109157970002,20.57083785
874a7f0f,BAU,10251,13.178601446828003,12.0101945
874a7f0f,PROVEN40_ReducedN,10628,13.308783043525002,9.676022995
65ef3d29,BAU,1253,12.571077846454001,13.07846199
65ef3d29,PROVEN40_ReducedN,2465,12.534257868342001,12.95504011
486f296c,BAU,3154,13.800092301198003,12.18270889
486f296c,PROVEN40_ReducedN,2635,13.526995912008001,12.17295067
98deccca,BAU,13085,13.440496240776001,8.337989627
98deccca,PROVEN40_ReducedN,12292,12.860089092092002,10.22622221
b5cb56ad,BAU,842,14.543963671557,12.05347035
b5cb56ad,PROVEN40_ReducedN,772,13.981540002333002,12.87079555
177f1ce7,BAU,3421,13.804432112289001,13.25661111
177f1ce7,PROVEN40_ReducedN,7152,14.323877953415002,8.79624112
19d0c95a,BAU,7507,13.996925105089002,8.26397307
19d0c95a,PROVEN40_ReducedN,13385,13.578882184046002,7.362740144
c38340ff,BAU,19069,13.051531139336001,10.2358195
c38340ff,PROVEN40_ReducedN,20774,12.727662802533,8.788984277
6bde429f,BAU,2482,15.929271879796001,12.57338005
6bde429f,PROVEN40_ReducedN,2671,15.994059803479,15.21519775
cc7f1c90,BAU,2949,13.867129079394001,13.21730061
cc7f1c90,PROVEN40_ReducedN,4005,13.094687573192001,12.22390143
